EmissionID,Year,TechID,ETypeID,Value
6,2015,10,ED,4.056549801826485e-4
6,2015,40,ED,7.450216131210333e-4
6,2015,70,ED,2.4284001159668008e-4
6,2015,80,ED,7.25929367542267e-5
6,2015,81,ED,7.16873270273209e-6
6,2015,90,ED,1.0170861005783069e-4
6,2015,92,ED,1.7090209780690203e-11
6,2015,100,ED,4.80901980400085e-5
6,2015,110,ED,2.944858253002167e-5
6,2015,120,ED,1.570591139793396e-5
6,2015,130,ED,1.099777634143829e-4
6,2015,140,ED,7.09835753440858e-5
6,2015,150,ED,5.3423950195312515e-5
6,2015,160,ED,2.243040466308597e-5
6,2015,161,ED,2.356967434025133e-10
6,2015,162,ED,1.602299544174457e-10
6,2015,170,ED,1.361406016349793e-5
6,2015,171,ED,7.52008393406868e-6
6,2015,181,ED,7.26083266735077e-6
6,2015,190,ED,1.3499404907226558e-5
6,2015,191,ED,3.18436146699242e-10
6,2015,192,ED,1.879042338259753e-10
6,2015,200,ED,6.17408969402313e-5
6,2015,210,ED,5.130831032991414e-6
6,2015,220,ED,1.968054801225662e-6
6,2015,230,ED,3.002423681318764e-7
6,2015,240,ED,4.3095954321324793e-7
6,2015,245,ED,8.1260810494423e-6
6,2015,250,ED,1.48271144926548e-5
6,2015,251,ED,7.364705696702009e-6
6,2015,260,ED,1.197565243244171e-4
6,2015,265,ED,1.8958389520645143e-4
6,2015,266,ED,1.0566010385751719e-5
6,2015,270,ED,5.49632377922535e-6
6,2015,280,ED,5.49632377922535e-6
6,2015,290,ED,2.663826145231727e-6
6,2015,295,ED,6.384995020926e-7
6,2015,300,ED,1.331913072615862e-6
6,2015,305,ED,3.192497510462999e-7
6,2015,310,ED,8.14518535137176e-6
6,2015,320,ED,2.198050962761045e-7
6,2015,321,ED,1.408181837759912e-7
6,2015,330,ED,5.27871356904507e-6
6,2015,340,ED,5.27871356904507e-6
6,2015,350,ED,2.60963810235262e-6
6,2015,360,ED,1.30481905117631e-6
6,2015,363,ED,4.1772097945213345e-6
6,2015,366,ED,3.0165594350546555e-7
6,2015,400,ED,4.90418695844711e-8
6,2015,401,ED,4.7629495849832905e-8
6,2015,461,ED,2.1965662902221082e-7
6,2015,462,ED,9.36051222961396e-8
6,2015,471,ED,1.116028768592514e-9
6,2015,472,ED,1.072997969458811e-9
6,2015,611,ED,1.3234824200480938e-10
6,2015,612,ED,6.70885042381997e-11
6,2015,620,ED,1.8783401977270838e-7
6,2015,621,ED,2.370243230834603e-7
6,2015,630,ED,1.41580820083618e-4
6,2015,631,ED,9.6049339504134e-12
6,2015,632,ED,4.42229503505587e-12
6,2015,670,ED,1.94791925605386e-9
6,2015,690,ED,6.326708207780029e-10
6,2015,700,ED,1.25566247105598e-5
6,2015,720,ED,7.50620183944702e-5
6,2015,810,ED,2.2563165664672902e-5
6,2015,857,ED,2.0366742319311e-11
6,2015,865,ED,1.97694937014603e-10
6,2015,890,ED,0.006949700927734379
6,2015,970,ED,3.28903614044189e-4
6,2015,980,ED,0.00131561447143555
6,2015,991,ED,8.875684887170791e-7
6,2015,1040,ED,6.36801147460938e-4
6,2015,1050,ED,5.0302677154541004e-5
6,2015,1051,ED,4.93041379451752e-5
6,2015,1060,ED,5.40888962745667e-5
6,2015,1061,ED,5.3015204668045004e-05
6,2015,1110,ED,6.3822089578025e-9
6,2015,1131,ED,7.646937251091e-6
6,2015,1132,ED,1.07596973419189e-4
6,2015,1142,ED,3.01763844490051e-6
6,2015,1152,ED,2.03541789054871e-4
6,2015,1153,ED,3.9657776069641103e-4
6,2015,1158,ED,4.40814301967621e-5
6,2015,1159,ED,4.89937913417816e-5
6,2015,1163,ED,5.40888962745667e-5
6,2015,1166,ED,5.40888962745667e-5
6,2015,1167,ED,3.47130270674825e-7
6,2015,1168,ED,5.40888962745667e-5
6,2015,1180,ED,9.131128550507129e-9
6,2015,1200,ED,5.39627635002136e-4
6,2015,1220,ED,3.292226302623749e-5
6,2015,1221,ED,4.1901058852672516e-5
6,2015,1222,ED,3.2989173904061316e-6
6,2015,1251,ED,1.2768853977322582e-6
6,2015,1252,ED,1.023048858623953e-7
6,2015,1261,ED,1.372995106503367e-6
6,2015,1262,ED,1.100052510155365e-7
6,2015,1301,ED,4.21787419356406e-7
6,2015,1302,ED,7.60362338041887e-8
6,2015,1320,ED,3.702191215753557e-5
6,2015,1340,ED,3.898751873522994e-6
6,2015,1390,ED,1.243780881166459e-6
6,2015,1410,ED,1.244771294593811e-4
6,2015,1450,ED,1.3367119610309602e-5
6,2015,1451,ED,6.17462262511253e-6
6,2015,1452,ED,4.9659859240055105e-6
6,2015,1453,ED,2.544165343046186e-6
6,2015,1460,ED,5.97842670045792e-7
6,2015,1461,ED,1.2816101126372809e-6
6,2015,1464,ED,2.59200701862574e-6
6,2015,1471,ED,5.80784320831299e-5
6,2015,1472,ED,1.029860413074494e-5
6,2015,1480,ED,1.0268342157360159e-7
6,2015,1510,ED,7.34347093850374e-7
6,2015,1511,ED,1.323818168602883e-7
6,2015,1520,ED,5.73036231040955e-4
6,2015,1530,ED,2.509529894590383e-5
6,2015,1540,ED,2.9834643900394473e-5
6,2015,1541,ED,5.337614221498362e-7
6,2015,1542,ED,5.281706631649286e-8
6,2015,1551,ED,5.584291983395818e-7
6,2015,1552,ED,5.739370370283721e-7
6,2015,1553,ED,5.6792542687617294e-8
6,2015,1560,ED,5.19778335690499e-5
6,2015,1570,ED,6.86412754654884e-5
6,2015,1590,ED,2.5994567096233327e-5
6,2015,1592,ED,7.17421228066087e-7
6,2015,1610,ED,1.2997283548116689e-5
6,2015,1612,ED,1.57368725836277e-5
6,2015,1613,ED,4.782808721065527e-7
6,2015,1615,ED,1.5631902106106281e-6
6,2015,1630,ED,3.668814420700076e-4
6,2015,1640,ED,1.7924449145793908e-5
6,2015,1650,ED,2.359859786033629e-4
6,2015,1660,ED,5.414634251594542e-5
6,2015,1670,ED,2.052979118889197e-8
6,2015,1675,ED,1.316663485765458e-5
6,2015,1680,ED,3.7648356240242694e-7
6,2015,1682,ED,1.026489559444599e-8
6,2015,1685,ED,2.509890529327094e-7
6,2015,1690,ED,8.167930291965599e-7
6,2015,1721,ED,2.8010377753525983e-7
6,2015,1722,ED,2.8250003291759687e-8
6,2015,1732,ED,3.011868819594385e-7
6,2015,1733,ED,3.037634771317236e-8
6,2015,2070,ED,6.169268798828129e-4
6,2015,2080,ED,4.851669921875e-4
6,2015,2120,ED,0.00104463415527344
6,2015,2130,ED,0.00122731396484375
6,2015,2150,ED,1.5338893127441402e-4
6,2015,2170,ED,1.64595245361328e-4
6,2015,2190,ED,1.7014048767089802e-4
6,2015,2240,ED,3.06519714355469e-4
6,2015,2300,ED,5.2100471496582004e-5
6,2015,3010,ED,0.00731655615234375
6,2015,3020,ED,0.00597048388671875
6,2015,3030,ED,0.0105411318359375
6,2015,3040,ED,0.0086685322265625
6,2015,4010,ED,8.39622747153044e-8
6,2015,4040,ED,6.68318581581116e-6
6,2015,4050,ED,1.8654013061523422e-4
6,2015,4060,ED,8.48838496208191e-6
6,2015,4070,ED,1.9478382492065421e-4
6,2015,4090,ED,7.00022608041763e-7
6,2015,4100,ED,4.6628100395202597e-5
6,2015,4120,ED,2.290506639480593e-4
6,2015,4130,ED,0.0014272274627685569
6,2015,4140,ED,3.192081470489498e-4
6,2015,4150,ED,0.001281182182312009
6,2015,4170,ED,2.746692717075353e-5
6,2015,4190,ED,2.198669605255126e-4
6,2015,4200,ED,2.816621551513668e-4
6,2015,4210,ED,0.0013722161483764623
6,2015,4220,ED,0.0013563232383728078
6,2015,4230,ED,3.0878801155090357e-4
6,2015,4250,ED,2.218314614295962e-4
6,2015,4270,ED,3.284543162584307e-5
6,2015,5000,ED,1.044791799038649e-6
6,2015,5001,ED,1.52225350856781e-4
6,2015,5002,ED,1.185507504940033e-4
6,2015,5003,ED,6.29024533033371e-5
6,2015,5004,ED,1.413540609180927e-6
6,2015,5005,ED,2.506573428399863e-7
6,2015,5012,ED,1.949568039178848e-5
6,2015,5013,ED,7.43531162152067e-8
6,2015,5014,ED,1.380120657384396e-6
6,2015,5016,ED,7.379286689683799e-7
6,2015,5017,ED,5.80991185852326e-8
6,2015,5025,ED,9.39181869849563e-7
6,2015,5026,ED,7.394431310240181e-8
6,2015,5033,ED,9.415348744369118e-9
6,2015,5034,ED,1.6975317375909059e-9
6,2015,5043,ED,3.327978259767405e-8
6,2015,5044,ED,2.6667326565075217e-9
6,2015,5052,ED,1.779970753705129e-8
6,2015,5053,ED,3.2091821922222177e-9
6,2015,5061,ED,2.8608740540221383e-8
6,2015,5062,ED,2.292438548465725e-9
6,2015,5070,ED,3.0950198037317e-8
6,2015,5071,ED,2.480061273672619e-9
6,2015,5201,ED,7.04924643039703e-6
6,2015,5202,ED,1.9257479524612429e-4
6,2015,5203,ED,1.062331273555755e-4
6,2015,5204,ED,1.773418817669153e-6
6,2015,5205,ED,3.144630203023555e-7
6,2015,5212,ED,1.888476128876209e-5
6,2015,5213,ED,9.90851541282609e-8
6,2015,5214,ED,4.271485615754505e-8
6,2015,5216,ED,1.018247564323246e-6
6,2015,5217,ED,8.01668202038854e-8
6,2015,5225,ED,1.295951405540108e-6
6,2015,5226,ED,1.0203048889525229e-7
6,2015,5233,ED,1.2922165275085722e-8
6,2015,5234,ED,2.330119081307206e-9
6,2015,5243,ED,4.1528222966007954e-8
6,2015,5244,ED,3.3281557007285282e-9
6,2015,5252,ED,2.2211391886230563e-8
6,2015,5253,ED,4.00514828652376e-9
6,2015,5261,ED,3.926427470287313e-8
6,2015,5262,ED,3.1467183725908397e-9
6,2015,5270,ED,3.862124733859675e-8
6,2015,5271,ED,3.095184743870053e-9
6,2015,5400,ED,2.3397803020477312e-4
6,2015,5401,ED,3.0257943123579053e-6
6,2015,5402,ED,9.03963775634765e-5
6,2015,5403,ED,1.047482268884777e-6
6,2015,5404,ED,1.6870324360206721e-7
6,2015,5405,ED,2.991450543049722e-8
6,2015,5412,ED,1.548332912847399e-6
6,2015,5416,ED,1.1704347771592439e-7
6,2015,5417,ED,9.21485754952299e-9
6,2015,5425,ED,1.4896440948359672e-7
6,2015,5426,ED,1.17279983824119e-8
6,2015,5433,ED,1.511639369709882e-9
6,2015,5434,ED,2.7244183820585e-10
6,2015,5443,ED,4.020448643132107e-9
6,2015,5444,ED,3.220458106625301e-10
6,2015,5452,ED,2.150339154468384e-9
6,2015,5453,ED,3.8755433706683173e-10
6,2015,5461,ED,4.593148423737151e-9
6,2015,5462,ED,3.6792012724617964e-10
6,2015,5470,ED,3.739017738553227e-9
6,2015,5471,ED,2.9950261659905574e-10
6,2015,5600,ED,4.375650143623345e-5
6,2015,5602,ED,1.574946239590645e-5
6,2015,5603,ED,8.52083122730256e-6
6,2015,5604,ED,7.99915935844183e-7
6,2015,5605,ED,1.4184206770733e-7
6,2015,5612,ED,2.544577449560167e-5
