EmissionID,Year,TechID,Value
1,2015,10,0.30379156676490304
1,2015,20,0.0163563598705701
1,2015,25,0.0351831035834892
1,2015,40,0.337859281852159
1,2015,50,9.44166324216425e-13
1,2015,70,0.0290268503792525
1,2015,80,0.153571349304579
1,2015,81,0.0190948047559445
1,2015,90,0.026312127336356902
1,2015,91,6.12532061966115e-12
1,2015,92,8.228516440058819e-8
1,2015,100,0.0277246079923395
1,2015,110,0.0277246079923395
1,2015,120,0.0264065726797107
1,2015,130,0.0126672158589923
1,2015,140,0.144980746294394
1,2015,150,0.0119867618311616
1,2015,160,0.012581641479669
1,2015,161,5.92287267237658e-7
1,2015,162,7.9593017917482e-7
1,2015,170,0.012581641479669
1,2015,171,0.0191613437163295
1,2015,181,0.0117765817429358
1,2015,190,0.0015910821097947902
1,2015,191,1.45318318690276e-6
1,2015,192,1.47224804562386e-6
1,2015,200,0.203209468408203
1,2015,210,0.00167316729887371
1,2015,220,0.001764408158217
1,2015,230,4.4727807203186003e-4
1,2015,240,0.0011261069185987001
1,2015,245,0.0317417207861268
1,2015,250,0.0024870116152729002
1,2015,251,0.0184931423199565
1,2015,260,0.11168257048819
1,2015,265,0.155896653546357
1,2015,266,0.0254840118587662
1,2015,270,9.61118460011424e-4
1,2015,276,1.67862853480624e-9
1,2015,280,9.61118460011424e-4
1,2015,290,0.00100916279946461
1,2015,291,5.8513800351925405e-25
1,2015,295,2.14096920684151e-4
1,2015,300,9.45866439252724e-4
1,2015,305,2.00442431288152e-4
1,2015,310,0.00130729038064302
1,2015,320,0.00047405817685428504
1,2015,321,4.91454299545532e-4
1,2015,330,8.86041553212256e-4
1,2015,340,8.70526752679938e-4
1,2015,350,9.364876641022759e-4
1,2015,360,8.77525516666573e-4
1,2015,361,1.02261757133557e-24
1,2015,363,0.00368925922391346
1,2015,364,3.6048661490473797e-9
1,2015,366,7.029246785256309e-4
1,2015,386,3.42454833226064e-25
1,2015,400,1.70403002243824e-4
1,2015,401,2.46552457667628e-4
1,2015,411,3.17399087194151e-25
1,2015,420,1.3608217194072899e-36
1,2015,433,5.99470074891387e-25
1,2015,444,2.60542886376796e-24
1,2015,461,2.19866001146309e-4
1,2015,462,3.16271411325861e-4
1,2015,471,1.05462302171496e-6
1,2015,472,3.31316241321456e-6
1,2015,515,4.50138083335581e-10
1,2015,521,6.64703360037976e-25
1,2015,531,1.147174290296e-25
1,2015,541,2.2025560254236e-25
1,2015,551,6.50188714360349e-25
1,2015,590,4.38307217363476e-5
1,2015,600,4.38307217363476e-5
1,2015,611,1.34659440956657e-7
1,2015,612,2.65104857586048e-7
1,2015,620,4.08033594437668e-4
1,2015,621,8.56739195632058e-4
1,2015,630,0.010700932871138501
1,2015,631,1.03126848246317e-8
1,2015,632,1.94336883398224e-8
1,2015,641,4.6572860516479e-12
1,2015,642,6.97816674551558e-11
1,2015,670,1.52689017851959e-6
1,2015,690,4.0027227528000497e-7
1,2015,700,0.00178737054485359
1,2015,720,0.0106743084325475
1,2015,730,0.00158552642811501
1,2015,810,0.00938303562839274
1,2015,811,9.70724545102054e-12
1,2015,857,1.83241255923536e-8
1,2015,865,1.24309091194237e-7
1,2015,890,4.58088233476799
1,2015,970,0.051556133093593894
1,2015,980,0.2757247749943
1,2015,981,5.21631442060292e-4
1,2015,991,5.35847267853135e-4
1,2015,1040,0.2757247749943
1,2015,1050,0.0232158936282795
1,2015,1051,0.022761856201372402
1,2015,1060,0.026284336420232098
1,2015,1061,0.025769392219228297
1,2015,1110,4.45314252091234e-7
1,2015,1131,8.60298428360408e-4
1,2015,1132,0.06991191023145
1,2015,1142,0.0019607325389991597
1,2015,1151,2.6878315126001803e-6
1,2015,1152,0.0219127772184442
1,2015,1153,0.19990981119102
1,2015,1158,0.00685269545128073
1,2015,1159,0.00888097405396185
1,2015,1163,0.028641422144280098
1,2015,1166,0.02725857884897
1,2015,1167,4.7725863400069696e-5
1,2015,1168,0.0282155496173093
1,2015,1180,7.70980259038115e-6
1,2015,1200,0.0863306897195715
1,2015,1220,0.0659005980274139
1,2015,1221,0.0400868841219639
1,2015,1222,0.00649206882586384
1,2015,1251,0.0023673120435862504
1,2015,1252,4.92860964694867e-4
1,2015,1261,0.0026399713488386802
1,2015,1262,5.377525419459169e-4
1,2015,1280,1.25378857142835e-4
1,2015,1301,0.00111907813373044
