EmissionID,Year,TechID,Value
1,2015,10,1.0995137724609374
1,2015,40,0.9939415888671875
1,2015,70,0.01682122109985352
1,2015,80,0.08315471484375
1,2015,81,0.008746881698608409
1,2015,90,0.01538108474731445
1,2015,92,4.103197832591829e-8
1,2015,100,0.01625768881225586
1,2015,110,0.01625768881225586
1,2015,120,0.01544480532836915
1,2015,130,0.00735460934448242
1,2015,140,0.0768610709228516
1,2015,150,0.006936193206787109
1,2015,160,0.00729598768615724
1,2015,162,5.25994263589382e-8
1,2015,170,0.00729598768615724
1,2015,171,0.00876697267150879
1,2015,181,0.00679936923217773
1,2015,190,9.156288661956789e-4
1,2015,192,4.7515857964754097e-7
1,2015,200,0.10692102563476559
1,2015,210,9.676731567382809e-4
1,2015,220,0.001024326105117798
1,2015,230,0.001024326105117798
1,2015,240,9.546029319763191e-4
1,2015,245,0.01514345477294922
1,2015,250,5.127400197982788e-4
1,2015,251,0.00846579362487794
1,2015,260,0.0563954550781251
1,2015,265,0.0802622353515625
1,2015,266,0.01088575915527344
1,2015,270,5.332618789672859e-4
1,2015,280,5.332618789672859e-4
1,2015,290,5.624307746887209e-4
1,2015,295,1.213294520378113e-4
1,2015,300,5.241476116180415e-4
1,2015,305,1.1307089376449591e-4
1,2015,310,4.717083654403694e-4
1,2015,320,1.7850120115280152e-4
1,2015,321,1.3531451845169058e-4
1,2015,330,4.940869178771969e-4
1,2015,340,4.846902828216554e-4
1,2015,350,5.245267343521121e-4
1,2015,360,4.88823642730713e-4
1,2015,363,0.0019085249900817872
1,2015,366,3.2810474681854235e-4
1,2015,400,1.2062814211845399e-4
1,2015,401,1.340898153781891e-4
1,2015,461,7.80675048828125e-5
1,2015,462,8.849813461303711e-5
1,2015,471,7.096009030938139e-7
1,2015,472,1.760210685431957e-6
1,2015,612,2.3013968137092888e-8
1,2015,620,1.712752923965454e-4
1,2015,621,2.720798296928405e-4
1,2015,630,2.66273662567139e-4
1,2015,632,6.918623839737851e-9
1,2015,640,6.6106880569458e-4
1,2015,670,0.00338851739501953
1,2015,690,0.00126751248168945
1,2015,700,0.00150509741210938
1,2015,720,2.65605424880981e-4
1,2015,810,0.0013597659606933601
1,2015,850,0.00292331254577637
1,2015,852,0.0017702280960083
1,2015,857,3.92889900831506e-9
1,2015,865,1.79759773891419e-8
1,2015,870,0.26095876171875
1,2015,890,3.5118265625
1,2015,970,0.258557875
1,2015,980,0.2068463125
1,2015,991,4.69455062866211e-4
1,2015,1050,0.0342240500488281
1,2015,1061,0.0360695541992188
1,2015,1110,5.345151498913771e-7
1,2015,1131,0.0031014332885742203
1,2015,1132,0.157367005859375
1,2015,1142,0.0015962516784668
1,2015,1152,0.038791967041015604
1,2015,1153,0.591232509765625
1,2015,1158,0.0386965706787109
1,2015,1159,0.0386965706787109
1,2015,1167,7.25696033477783e-4
1,2015,1168,0.0386965706787109
1,2015,1180,2.6483929157257103e-5
1,2015,1220,0.10353855725097659
1,2015,1221,0.13115712780761718
1,2015,1222,0.01179230696105958
1,2015,1251,0.001985775875091553
1,2015,1252,3.230870933532719e-4
1,2015,1261,0.00213524284362793
1,2015,1262,3.474055056571965e-4
1,2015,1301,7.390670528411861e-4
1,2015,1302,1.220779266357422e-4
1,2015,1320,0.13472902246093763
1,2015,1410,0.005201494064331056
1,2015,1450,0.02796206268310552
1,2015,1451,0.01365843217468261
1,2015,1452,0.0671524870605469
1,2015,1453,0.004622044952392571
1,2015,1461,0.0021924356212615972
1,2015,1464,0.01684615559387207
1,2015,1471,0.133874564453125
1,2015,1472,0.01788032595825196
1,2015,1480,3.567108993530272e-4
1,2015,1510,0.0017077685508728022
1,2015,1511,2.778551959991454e-4
1,2015,1520,0.037985864501953154
1,2015,1530,0.131960587890625
1,2015,1540,0.001316809331893921
