EmissionID,Year,TechID,ETypeID,Value
7,2015,10,ED,6.987777072936293e-9
7,2015,20,ED,2.931494726965409e-13
7,2015,25,ED,1.023550480604171e-7
7,2015,30,ED,1.016828978061676e-5
7,2015,40,ED,1.817547392845154e-5
7,2015,50,ED,6.11776762582395e-15
7,2015,70,ED,1.308624930679798e-7
7,2015,80,ED,3.252353515625004e-4
7,2015,81,ED,5.28503875732422e-5
7,2015,90,ED,6.03906195610762e-8
7,2015,91,ED,8.6548161925748e-10
7,2015,92,ED,6.386626958847051e-7
7,2015,100,ED,1.829685735702515e-5
7,2015,110,ED,1.311345024108886e-4
7,2015,120,ED,1.741744232177735e-4
7,2015,130,ED,2.5573346391320273e-7
7,2015,140,ED,7.69323745727539e-4
7,2015,150,ED,1.1801624298095708e-7
7,2015,160,ED,2.935092496871944e-5
7,2015,161,ED,4.60772788524628e-6
7,2015,162,ED,4.47987294197083e-6
7,2015,170,ED,3.270142288208006e-4
7,2015,171,ED,1.011914348602295e-4
7,2015,181,ED,4.186439819335937e-4
7,2015,190,ED,3.940099943429241e-8
7,2015,191,ED,2.193911015987398e-6
7,2015,192,ED,1.65323448181152e-6
7,2015,200,ED,4.43172256469727e-4
7,2015,210,ED,1.818282576277852e-8
7,2015,220,ED,5.4785076379776e-6
7,2015,230,ED,9.29567565917969e-5
7,2015,240,ED,1.6241994476318358e-4
7,2015,245,ED,8.081271934509281e-5
7,2015,250,ED,3.06988833472133e-8
7,2015,251,ED,8.5330192565918e-5
7,2015,260,ED,4.0822543334960903e-4
7,2015,261,ED,1.2547041475772861e-7
7,2015,265,ED,4.52856933593751e-4
7,2015,266,ED,9.65665988922119e-5
7,2015,270,ED,1.412758673541248e-8
7,2015,276,ED,1.016916811466218e-6
7,2015,280,ED,6.9572125673294e-6
7,2015,290,ED,6.46409358978272e-5
7,2015,291,ED,3.2555536180734677e-7
7,2015,295,ED,8.61717891693115e-5
7,2015,300,ED,1.8272126388549798e-4
7,2015,302,ED,2.824806571006776e-7
7,2015,305,ED,1.880195350646973e-4
7,2015,310,ED,6.53181481175125e-9
7,2015,320,ED,3.701823520660399e-5
7,2015,321,ED,3.573858928680415e-5
7,2015,330,ED,3.014237503521148e-9
7,2015,340,ED,3.0433735847473133e-6
7,2015,350,ED,3.68349924087525e-5
7,2015,351,ED,2.342700918234182e-11
7,2015,360,ED,1.132814292907715e-4
7,2015,361,ED,7.36122559756041e-8
7,2015,362,ED,6.54321323963814e-10
7,2015,363,ED,3.770299148559571e-4
7,2015,364,ED,9.4358740746975e-7
7,2015,366,ED,1.04523120880127e-4
7,2015,386,ED,4.83166868798435e-9
7,2015,400,ED,8.75119757652283e-6
7,2015,401,ED,1.1728789567947389e-5
7,2015,410,ED,1.334026753902435e-7
7,2015,411,ED,5.80946868285536e-8
7,2015,430,ED,8.546457866032139e-11
7,2015,431,ED,3.870353698730468e-7
7,2015,442,ED,4.51655112206936e-7
7,2015,460,ED,4.66408431529998e-8
7,2015,461,ED,1.076334261894226e-5
7,2015,462,ED,1.320345544815063e-5
7,2015,470,ED,2.1914008175372118e-10
7,2015,471,ED,4.48388934135437e-6
7,2015,472,ED,8.489066123962401e-6
7,2015,515,ED,2.100850760936737e-6
7,2015,611,ED,1.578478850424287e-7
7,2015,612,ED,2.752873077988623e-7
7,2015,620,ED,6.85999023914338e-6
7,2015,621,ED,1.167679142951965e-5
7,2015,630,ED,8.1988799571991e-7
7,2015,631,ED,2.89987243711949e-7
7,2015,632,ED,5.08030369877816e-7
7,2015,640,ED,2.82780437469482e-5
7,2015,641,ED,6.24533370137215e-7
7,2015,642,ED,1.1993834972381601e-6
7,2015,660,ED,1.19726257707953e-12
7,2015,670,ED,5.3193325042724606e-5
7,2015,680,ED,5.4098260588944e-9
7,2015,690,ED,8.07693839073181e-7
7,2015,691,ED,4.47121783508919e-12
7,2015,695,ED,3.75364162027836e-8
7,2015,700,ED,2.79592126607895e-7
7,2015,720,ED,8.26321840286255e-8
7,2015,730,ED,3.33556592464447e-7
7,2015,731,ED,2.30520237237215e-8
7,2015,750,ED,2.57796898949891e-10
7,2015,810,ED,3.03152590990067e-7
7,2015,811,ED,1.32054532878101e-9
7,2015,812,ED,1.58053062477848e-11
7,2015,850,ED,1.33980378508568e-7
7,2015,852,ED,4.4966246932745e-9
7,2015,853,ED,2.6158634573221196e-9
7,2015,857,ED,6.24496350064874e-9
7,2015,858,ED,7.192393968580291e-11
7,2015,865,ED,8.191422373056411e-8
7,2015,866,ED,2.38604843616486e-9
7,2015,870,ED,2.2581672668457e-6
7,2015,890,ED,6.36888961791992e-5
7,2015,970,ED,1.06421911716461e-6
7,2015,980,ED,2.0765909194946298e-5
7,2015,991,ED,2.9213350266218198e-8
7,2015,1040,ED,3.4867362976074195e-5
7,2015,1041,ED,1.71304754912853e-8
7,2015,1110,ED,7.560421977359511e-13
7,2015,1121,ED,1.23535001277924e-6
7,2015,1130,ED,3.40335960388184e-5
7,2015,1131,ED,3.00845671445131e-8
7,2015,1132,ED,7.16397476196289e-6
7,2015,1142,ED,3.6746606230735796e-8
7,2015,1143,ED,4.29502036422491e-9
7,2015,1150,ED,2.11038463748991e-9
7,2015,1151,ED,7.79040977358818e-8
7,2015,1152,ED,4.53031003475189e-7
7,2015,1153,ED,1.33349666595459e-5
7,2015,1155,ED,3.71067388914526e-9
7,2015,1158,ED,2.6788282394409203e-7
7,2015,1159,ED,4.15452146530151e-6
7,2015,1163,ED,7.02265071868896e-6
7,2015,1164,ED,2.2772531956434298e-8
7,2015,1166,ED,8.09936618804932e-6
7,2015,1167,ED,1.25919310376048e-8
7,2015,1168,ED,5.05176612932701e-11
7,2015,1171,ED,2.7958545088768e-7
7,2015,1180,ED,6.26594061031938e-10
7,2015,1181,ED,4.55293513368815e-10
7,2015,1200,ED,3.0143366660922754e-8
7,2015,1220,ED,2.728364791870119e-4
7,2015,1221,ED,8.7919695675373e-7
7,2015,1222,ED,4.62459254264832e-6
