EmissionID,Year,TechID,ETypeID,Value
5,2015,10,ED,5.9532238304615047e-5
5,2015,40,ED,8.181753230094916e-5
5,2015,70,ED,2.565188050270071e-6
5,2015,80,ED,3.890872135758404e-6
5,2015,81,ED,3.708327114582054e-7
5,2015,90,ED,1.265745954588056e-6
5,2015,92,ED,9.06304736147945e-13
5,2015,100,ED,1.265745954588056e-6
5,2015,110,ED,1.265745954588056e-6
5,2015,120,ED,1.265745954588056e-6
5,2015,130,ED,9.73975038155914e-7
5,2015,140,ED,3.165447633713485e-6
5,2015,150,ED,4.869875190779565e-7
5,2015,160,ED,4.869875190779565e-7
5,2015,161,ED,1.126910186144414e-11
5,2015,162,ED,7.4384296055996e-12
5,2015,170,ED,4.869875190779565e-7
5,2015,171,ED,3.237474127672615e-7
5,2015,181,ED,4.869875190779565e-7
5,2015,190,ED,1.103984166402371e-7
5,2015,191,ED,2.0599387653419418e-11
5,2015,192,ED,1.1801435988445509e-11
5,2015,200,ED,3.5831091403961147e-6
5,2015,210,ED,5.5199208320118504e-8
5,2015,220,ED,5.5199208320118504e-8
5,2015,230,ED,5.5199208320118504e-8
5,2015,240,ED,5.5199208320118504e-8
5,2015,245,ED,4.5558106247335663e-7
5,2015,250,ED,1.35513150319457e-6
5,2015,251,ED,1.314992294646799e-7
5,2015,260,ED,9.83899988234043e-7
5,2015,265,ED,1.557990901172161e-6
5,2015,266,ED,1.886595301330091e-7
5,2015,270,ED,2.079795161262154e-7
5,2015,280,ED,1.6638361383229488e-7
5,2015,290,ED,7.90405832231045e-8
5,2015,295,ED,1.894544489914547e-8
5,2015,300,ED,3.952029161155225e-8
5,2015,305,ED,9.47272244957275e-9
5,2015,310,ED,5.836210548877716e-7
5,2015,320,ED,9.768676871317439e-9
5,2015,321,ED,6.06237017200329e-9
5,2015,330,ED,2.356666885316375e-7
5,2015,340,ED,1.885333606041967e-7
5,2015,350,ED,8.95944559015333e-8
5,2015,360,ED,4.479722795076677e-8
5,2015,363,ED,3.973589953966438e-8
5,2015,366,ED,6.232126586837695e-9
5,2015,400,ED,2.836249903339188e-9
5,2015,401,ED,2.6703030016506115e-9
5,2015,461,ED,1.798897064873021e-9
5,2015,462,ED,1.671350226388312e-9
5,2015,471,ED,1.0573447809747438e-11
5,2015,472,ED,2.2167834458741717e-11
5,2015,611,ED,9.892417551782271e-13
5,2015,612,ED,1.095859431643476e-12
5,2015,620,ED,1.0027585012721832e-8
5,2015,621,ED,1.226107822731138e-8
5,2015,630,ED,1.32150933742523e-5
5,2015,631,ED,7.1965249759387e-14
5,2015,632,ED,7.22361184202214e-14
5,2015,670,ED,1.5519310352374302e-11
5,2015,690,ED,9.19593294383958e-11
5,2015,700,ED,1.10348563194275e-5
5,2015,720,ED,4.5411722660064694e-6
