EmissionID,Year,TechID,ETypeID,Value
14,2027,533,ET,6.33791286342536e-25
14,2027,534,ET,4.22623134703654e-26
14,2027,540,ET,1.7973727180804599e-25
14,2027,541,ET,7.489261756880369e-24
14,2015,10,ET,7.81949863887564e-9
14,2015,20,ET,4.4673235068532403e-13
14,2015,25,ET,3.72648482000609e-7
14,2015,30,ET,9.52154658307066e-6
14,2015,40,ET,7.20528552216188e-5
14,2015,50,ET,4.8081691805884095e-14
14,2015,70,ET,1.6333964611673498e-7
14,2015,80,ET,3.47830463548442e-4
14,2015,81,ET,0.0028893897565851296
14,2015,90,ET,7.163309429555351e-8
14,2015,91,ET,1.64819031388297e-9
14,2015,92,ET,5.39641046440097e-5
14,2015,100,ET,2.1278989679882803e-5
14,2015,110,ET,1.50557182876356e-4
14,2015,120,ET,1.93232256571107e-4
14,2015,130,ET,3.0597817597211503e-7
14,2015,140,ET,8.018865698080869e-4
14,2015,150,ET,1.3684885005597e-7
14,2015,160,ET,3.33937804316921e-5
14,2015,161,ET,9.76746866144009e-6
14,2015,162,ET,3.27192545451458e-4
14,2015,170,ET,3.67455391681937e-4
14,2015,171,ET,0.00476430539896466
14,2015,181,ET,4.51070549024329e-4
14,2015,190,ET,4.79506690902504e-8
14,2015,191,ET,6.2916328245422905e-6
14,2015,192,ET,1.0710093595731201e-4
14,2015,200,ET,4.93445418252468e-4
14,2015,210,ET,2.26385366966008e-8
14,2015,220,ET,6.65734056588869e-6
14,2015,230,ET,1.11553944511113e-4
14,2015,240,ET,1.86935261859834e-4
14,2015,245,ET,0.0033413941822154703
14,2015,250,ET,3.5653955043379004e-8
14,2015,251,ET,0.0033253684583366997
14,2015,260,ET,4.21965594407577e-4
14,2015,261,ET,5.12599815510405e-7
14,2015,265,ET,3.6210920873837104e-4
14,2015,266,ET,0.004579590958242711
14,2015,270,ET,1.67088453338817e-8
14,2015,275,ET,9.62179663495814e-27
14,2015,276,ET,1.85337079156564e-6
14,2015,280,ET,7.66975915530649e-6
14,2015,290,ET,7.07667967121924e-5
14,2015,291,ET,1.0898729382386302e-6
14,2015,295,ET,7.362379107087661e-5
14,2015,300,ET,1.9360819861110202e-4
14,2015,302,ET,2.54241752792073e-7
14,2015,305,ET,1.5473435813571503e-4
14,2015,310,ET,7.20264169566671e-9
14,2015,320,ET,3.25313222647419e-5
14,2015,321,ET,0.0019493536031559699
14,2015,330,ET,3.37667717266143e-9
14,2015,340,ET,3.18484827705162e-6
14,2015,350,ET,3.88578355828385e-5
14,2015,351,ET,1.0571416683470301e-10
14,2015,360,ET,1.1564318970622099e-4
14,2015,361,ET,2.72818117948295e-7
14,2015,362,ET,6.288139722428659e-10
14,2015,363,ET,3.75274288913838e-4
14,2015,364,ET,4.37808636102219e-5
14,2015,366,ET,0.00369342733457996
14,2015,385,ET,6.18057214797144e-15
14,2015,386,ET,2.5388137515628398e-8
14,2015,400,ET,8.21174880512011e-6
14,2015,401,ET,5.611294623835619e-4
14,2015,410,ET,6.92366086174485e-7
14,2015,411,ET,2.85468883545591e-7
14,2015,420,ET,4.63818753325888e-31
